Title,Year,Album debut,Duration,Other releases,Single A side,Single B side,Single certification,Genre,Styles,Themes,Moods,Songwriter,Lead vocal,Cover,Covered by,Chart position UK Wikipedia,Chart position US Wikipedia,Highest position The Guardian,Weeks on chart in UK The Guardian,Weeks at No1 in UK The Guardian,Highest position Billboard,Weeks at No1 Billboard,Top 50 Billboard,Top 50 Ultimate classic rock,Top 50 Rolling Stone,Top 50 NME,Top 50 Top50songs.org,Top 50 USA today 2017,Top 50 Vulture by Bill Wyman
12-Bar Original,1965,Anthology 2,174,,,,,Blues,,,Passionate,"Lennon, McCartney, Harrison and Starkey",,,,,,,,,,,,,,,,,
A Day in the Life,1967,Sgt. Pepper's Lonely Hearts Club Band,335,12,Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends,A Day in the Life,,"Psychedelic Rock, Art Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock, Psychedelic/Garage",,Ambitious Complex Dramatic Dreamy Eerie Elaborate Epic Ominous Sophisticated Spacey Sprawling Stately Theatrical Trippy Druggy Indulgent Literate Nocturnal Quirky Searching Stylish Unsettling Wry,Lennon and McCartney,Lennon and McCartney,,27,63,,,,,,,,1,1,2,18,1,1
A Hard Day's Night,1964,UK: A Hard Day's Night US: 1962-1966,152,35,A Hard Day's Night; A Hard Day's Night,Things We Said Today; I Should Have Known Better,RIAA Gold,"Rock, Electronic, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop, Club/Dance","Everyday Life, In Love, Relationships",Carefree Cheerful Explosive Marching Optimistic Positive Strong Swinging,Lennon,"Lennon, with McCartney",,35,1,1,1,13,3,1,2,8,18,11,19,19,15,41
A Shot of Rhythm and Blues,1963,Live at the BBC,104,,,,,"R&B, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Celebration, Hanging Out, Partying",Amiable/Good-Natured Innocent Swaggering Bright Yearning Freewheeling Summery Whimsical Celebratory Fun Light Lively Bravado Confident Passionate Sparkling Energetic Rollicking,Thompson,Lennon,Y,,,,,,,,,,,,,,,
A Taste of Honey,1963,UK: Please Please Me US: The Early Beatles,163,29,,,,"Pop/Rock, Jazz, Stage&Screen","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Cast Recordings, Show Tunes",Affection/Fondness,Earnest Precious Refined Sentimental Sweet Warm Amiable/Good-Natured Romantic Self-Conscious Yearning Restrained Whimsical,"Scott, Marlow",McCartney,Y,,,,,,,,,,,,,,,
Across the Universe,1968,Let It Be,230,19,,,,"Psychedelic folk, Pop/Rock","Album Rock, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Singer/Songwriter","Introspection, Awareness, In Love, Nature, Religion",Atmospheric Dreamy Lazy Meandering Ramshackle Searching Spacey Laid-Back/Mellow Quirky Spiritual Sprawling Trippy Melancholy Sweet,Lennon,Lennon,,32,,,,,,,,,,,7,30,32,
Act Naturally,1965,UK: Help! US: Yesterday and Today,139,14,Yesterday,Act Naturally,RIAA Gold,"Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock, Bakersfield Sound","Hanging Out, Playful",Amiable/Good-Natured Bright Fun Ramshackle Humorous Playful Rollicking Laid-Back/Mellow Organic Warm Carefree Freewheeling,"Russell, Morrison",Starkey,Y,,,47,,,,47,,50,,,,,,
Ain't She Sweet,1961,Anthology 1,,9,,,,Pop/Rock,"British Invasion, Rock & Roll","Affection/Fondness, Day Driving, In Love, New Love, Playful, Hanging Out",Rollicking Amiable/Good-Natured Cheerful Fun Playful Exuberant Innocent,"Yellen, Ager",Lennon,Y,,,19,29,6,,19,,41,,,,,,
All I've Got to Do,1963,UK: With the Beatles US: Meet The Beatles!,124,9,,,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Amiable/Good-Natured Earnest Sweet Innocent Poignant Warm Bright Fun Cheerful,Lennon,Lennon,,2,,,,,,,,,,,,,,
All My Loving,1963,UK: With the Beatles US: Meet The Beatles!,124,32,All My Loving,This Boy,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","Day Driving, In Love, New Love, Partying, Road Trip, Summer, TGIF, Affection/Fondness",Bright Energetic Exciting Exuberant Rousing Sweet Cheerful Earnest Fun Joyous Lively Rollicking Warm Innocent Playful Raucous Gleeful,McCartney,McCartney,,20,,45,,,,,,,46,44,35,43,29,
All Things Must Pass,1969,Anthology 3,227,,,,,"Folk Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Autumn, Breakup, Comfort, Feeling Blue, Heartache, Introspection, Late Night, Rainy Day, Reflection, Regret, Reminiscing, Solitude",Autumnal Bittersweet Melancholy Plaintive Poignant Reflective Searching Wistful Yearning,Harrison,Harrison,,,,,,,,,,,,,,,,
All Together Now,1967,Yellow Submarine,130,8,All Together Now,Hey Bulldog,,"Skiffle, Pop/Rock","Contemporary Pop/Rock, British Psychedelia, Psychedelic/Garage","Birthday, Family Gatherings, Playful",Amiable/Good-Natured Carefree Cheerful Energetic Exuberant Freewheeling Fun Giddy Playful Quirky Silly Whimsical Celebratory Happy Rollicking Gleeful Ramshackle Rousing Humorous Precious,"McCartney, with Lennon","McCartney, with Lennon",,3,,,,,,,,,,,,,,
All You Need Is Love,1967,Magical Mystery Tour,237,25,All You Need Is Love,"Baby, You're a Rich Man",RIAA Gold,Pop/Rock,"Contemporary Pop/Rock, British Psychedelia, Psychedelic/Garage","Affection/Fondness, Affirmation, In Love",Amiable/Good-Natured Cheerful Lush Sentimental Sophisticated Stately Summery Sweet Warm Whimsical Playful Earnest Freewheeling,Lennon,Lennon,,20,1,1,,,,1,,15,23,21,24,7,33,
And I Love Her,1964,UK: A Hard Day's Night US: Something New,152,29,And I Love Her,If I Fell,,Pop/Rock,"British Invasion. Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Adult Contemporary, Alternative/Indie Rock, Britpop","New Love, In Love, Relationships",Poignant Reflective Gentle Precious Warm Delicate Dreamy Earnest Intimate Romantic Sentimental Sweet,"McCartney, with Lennon",McCartney,,32,,12,,,,12,,37,,,,,,
And Your Bird Can Sing,1966,UK: Revolver US: Yesterday and Today,121,9,,,,"Power Pop, Psychedelic Pop, Pop/Rock","British Invasion, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll",,Acerbic Bright Energetic Exciting Freewheeling Lively Rebellious Rousing Sardonic Trippy Elaborate Playful Quirky Raucous Tense/Anxious Confident,"Lennon, with McCartney",Lennon,,6,,,,,,,,,,,30,,,33
Anna (Go to Him),1963,UK: Please Please Me US: The Early Beatles,168,16,,,,"Soul, Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","Breakup, Feeling Blue, Heartache, Regret",Earnest Yearning Warm Bittersweet Melancholy Passionate Poignant Reflective,Alexander,Lennon,Y,,,,,,,,,,,,,,,
